Frequency - Fgen,Phase - Fgen,Phase - R
39899.6,0.0319283,0.282734
39899.6,0.0320931,0.282898
39899.5,0.0288914,0.279391
39899.4,0.0214633,0.272187
39899.5,0.0234078,0.274207
39899.5,0.0217502,0.272493
39949.6,0.0322167,0.282961
39949.6,0.0319975,0.283046
39949.5,0.032619,0.283697
39949.6,0.0242907,0.275388
39949.6,0.0242828,0.275164
39949.5,0.027758,0.278541
39999.6,0.0311667,0.283133
39999.5,0.0288315,0.280029
39999.5,0.0217465,0.272758
39999.5,0.0221347,0.273716
39999.5,0.0307722,0.282393
39999.5,0.0245888,0.275942
39999.6,0.0199035,0.271491
40049.5,0.0316025,0.282922
40049.6,0.0233218,0.27502
40049.7,0.0226433,0.274284
40049.5,0.0210337,0.272316
40049.8,0.0319721,0.284133
40049.6,0.0222829,0.274055
40099.6,0.0206689,0.272865
40099.5,0.0263689,0.27836
40099.5,0.0332088,0.285164
40099.5,0.0214769,0.273583
40099.5,0.0277111,0.279743
40099.4,0.0229042,0.274729
40099.5,0.0326021,0.28462
40149.6,0.0302676,0.282263
40149.6,0.0284905,0.280922
40149.6,0.0274363,0.279538
40149.5,0.0265528,0.278601
40149.6,0.0315869,0.283783
40149.6,0.0238885,0.276267
40149.5,0.0216868,0.273742
40199.5,0.0305973,0.283044
40199.5,0.0249078,0.277305
40199.4,0.0293953,0.281825
40199.4,0.0210856,0.273481
40199.5,0.0267047,0.279261
40199.6,0.0340456,0.286777
40249.5,0.0251758,0.277447
40249.7,0.0309296,0.283917
40249.7,0.0300259,0.283088
40249.5,0.022796,0.275275
40249.6,0.0306478,0.283419
40249.6,0.0327362,0.285403
40249.7,0.0281629,0.281034
40299.7,0.0219967,0.275622
40299.6,0.0323043,0.285853
40299.6,0.0309055,0.284359
40299.5,0.0219555,0.274994
40299.6,0.0197461,0.273316
40299.6,0.027674,0.280788
40349.5,0.0316065,0.285342
40349.5,0.0264281,0.279819
40349.5,0.0290606,0.282792
40349.5,0.0266394,0.28018
40349.5,0.0304025,0.283746
40349.4,0.0205641,0.27372
40349.4,0.0324733,0.285714
40399.6,0.0214779,0.275515
40399.5,0.0338506,0.287408
40399.6,0.0214642,0.275133
40399.7,0.0257936,0.279777
40399.6,0.0242014,0.277928
40399.5,0.0317056,0.285335
40449.4,0.0216463,0.27584
40449.5,0.0302999,0.284232
40449.4,0.0301633,0.284039
40449.4,0.0341206,0.288124
40449.5,0.0209488,0.275327
40449.6,0.0236312,0.277995
40449.5,0.0249433,0.279146
40499.6,0.0334472,0.287824
40499.5,0.0268339,0.281014
40499.6,0.0281082,0.282534
40499.6,0.021806,0.276191
40499.7,0.0213662,0.27621
40499.7,0.0270675,0.281825
40549.5,0.0305758,0.285424
40549.6,0.0267526,0.281578
40549.3,0.034185,0.288619
40549.4,0.0232064,0.277887
40549.5,0.0313589,0.285911
40549.5,0.028459,0.283016
40549.5,0.0213428,0.27586
40599.6,0.0304303,0.285257
40599.6,0.0311738,0.286115
40599.6,0.0329698,0.287971
40599.5,0.026069,0.280903
40599.6,0.0306852,0.285783
40599.7,0.0208965,0.276045
40599.6,0.0306909,0.285695
40649.6,0.0236867,0.278995
40649.7,0.0241895,0.279767
40649.5,0.023758,0.279067
40649.5,0.0275495,0.282928
40649.5,0.0317026,0.286867
40649.5,0.0312058,0.286665
40699.4,0.0233829,0.279122
40699.4,0.0233723,0.278809
40699.5,0.0280145,0.283844
40699.4,0.0311322,0.286654
40699.6,0.0306224,0.286497
40699.3,0.0226764,0.278214
40699.3,0.0264794,0.281916
40749.4,0.0294781,0.28526
40749.5,0.0259094,0.281941
40749.5,0.0255936,0.281774
40749.5,0.0252865,0.281107
40749.6,0.022143,0.278021
40749.5,0.0324688,0.288752
40799.6,0.0228164,0.279332
40799.6,0.0261479,0.282733
40799.5,0.0283658,0.284542
40799.5,0.0286081,0.28495
40799.5,0.0228518,0.279
40799.5,0.0302868,0.286448
40799.5,0.0291244,0.285434
40849.5,0.0300791,0.28661
40849.5,0.0290929,0.285877
40849.5,0.021815,0.278142
40849.5,0.0274565,0.284115
40849.5,0.0224994,0.279078
40849.4,0.0223875,0.278891
40899.5,0.0237825,0.280818
40899.6,0.0345488,0.291721
40899.5,0.0301965,0.287257
40899.5,0.0262927,0.283424
40899.5,0.0326955,0.289831
40899.5,0.0244141,0.281279
40899.5,0.0230907,0.280347
40949.7,0.0300062,0.287627
40949.6,0.0278831,0.284957
40949.6,0.0215367,0.278867
40949.6,0.0270211,0.284168
40949.6,0.0255847,0.282779
