Time - Gen,Voltage - Gen,Voltage - R,Voltage - L,Voltage - C
"0.0234","2.51709","-0.000666186","0.00577553","2.5216"
"0.0235","2.51709","-0.000988272","0.0041651","2.52064"
"0.0236","2.51677","-0.0003441","0.0041651","2.51967"
"0.0237","2.51742","-0.000988272","0.0041651","2.52128"
"0.0238","2.51742","-0.000666186","0.00384302","2.52031"
"0.0239","2.51806","-0.00195453","0.00448719","2.51967"
"0.024","2.51709","-0.0003441","0.00641971","2.52031"
"0.0241","2.51806","-0.000988272","0.00384302","2.52064"
"0.0242","2.51774","-0.00131036","0.00609762","2.52031"
"0.0243","2.51613","-0.000988272","0.00287676","2.52031"
"0.0244","2.51742","-0.000666186","0.0041651","2.51999"
"0.0245","2.5187","-0.000666186","0.00448719","2.51999"
"0.0246","2.51742","-0.000988272","0.00513136","2.51999"
"0.0247","2.51806","-0.000666186","0.00674179","2.52031"
"0.0248","2.51677","-0.000988272","0.0041651","2.51967"
"0.0249","2.51677","-0.000666186","0.00384302","2.51967"
"0.025","2.51516","-0.000666186","0.00609762","2.5216"
"0.0251","2.51581","-0.00131036","0.00352093","2.52031"
"0.0252","2.5187","-0.000666186","0.00480928","2.52096"
"0.0253","2.5187","-0.00163244","0.00513136","2.52064"
"0.0254","2.51742","-0.0003441","0.00223259","2.52128"
"0.0255","2.51774","-0.00131036","0.00448719","2.52031"
"0.0256","2.51613","-0.0003441","0.0041651","2.51999"
"0.0257","2.5187","-0.00131036","0.00480928","2.52031"
"0.0258","2.51935","-0.000666186","0.00448719","2.52128"
"0.0259","2.51677","-0.000988272","0.00448719","2.51999"
"0.026","2.51709","-0.000988272","0.00352093","2.52031"
"0.0261","2.51709","-0.00163244","0.00609762","2.52031"
"0.0262","2.51548","-0.000666186","0.00384302","2.52031"
"0.0263","2.51709","-0.00131036","0.00448719","2.52128"
"0.0264","2.52064","-0.000666186","0.00480928","2.52031"
"0.0265","2.51742","-0.00131036","0.00384302","2.52064"
"0.0266","2.51581","-0.00131036","0.00448719","2.52031"
"0.0267","2.51709","-0.00163244","0.00287676","2.52031"
"0.0268","2.51548","-0.000666186","0.00352093","2.51999"
"0.0269","2.51806","-0.00163244","0.00448719","2.5216"
"0.027","2.51903","-0.0003441","0.00352093","2.52064"
"0.0271","2.51806","-0.00163244","0.00480928","2.52064"
"0.0272","2.52031","-0.000988272","0.0041651","2.52096"
"0.0273","2.51806","-0.000666186","0.00609762","2.52064"
"0.0274","2.51742","-0.0003441","0.0041651","2.51967"
"0.0275","2.51742","-0.0003441","0.00384302","2.52096"
"0.0276","2.51709","-0.000666186","0.00480928","2.52064"
"0.0277","2.51806","-0.000988272","0.0041651","2.52064"
"0.0278","2.51838","-0.0003441","0.00480928","2.52064"
"0.0279","2.5187","-0.00131036","0.00545345","2.52128"
"0.028","2.51677","-0.000666186","0.00609762","2.52128"
"0.0281","2.51548","-0.00131036","0.00609762","2.52096"
"0.0282","2.51677","-0.000988272","0.0041651","2.52064"
"0.0283","2.51903","-0.00131036","0.0041651","2.52096"
"0.0284","2.51742","-0.0003441","0.00448719","2.52096"
"0.0285","2.51838","-0.000988272","0.00513136","2.5216"
"0.0286","2.51967","-0.000666186","0.00545345","2.52031"
"0.0287","2.52031","-0.00131036","0.00480928","2.52064"
"0.0288","2.51806","-0.000666186","0.00223259","2.52064"
"0.0289","2.51613","-0.00195453","0.00448719","2.52031"
"0.029","2.51838","-0.000666186","0.00287676","2.52096"
"0.0291","2.51613","-0.00163244","0.0041651","2.52031"
"0.0292","2.51967","-2.20E-05","0.00513136","2.52096"
"0.0293","2.51613","-0.000988272","0.00352093","2.52031"
"0.0294","2.51806","-0.000988272","0.00513136","2.52096"
"0.0295","2.51774","-0.00131036","0.00448719","2.52128"
"0.0296","2.51838","-0.000666186","0.00448719","2.5216"
"0.0297","2.51774","-0.000988272","0.00448719","2.5216"
"0.0298","2.51774","-0.0003441","0.0041651","2.51999"
"0.0299","2.5187","-0.00131036","0.00545345","2.52096"
"0.03","2.51645","-0.0003441","0.00448719","2.52031"
"0.0301","2.51806","-0.00163244","0.00641971","2.52064"
"0.0302","2.51742","-0.0003441","0.00352093","2.52096"
"0.0303","2.51742","-0.000988272","0.00480928","2.51999"
"0.0304","2.51645","-0.0003441","0.0041651","2.52064"
"0.0305","2.51709","-0.00131036","0.00352093","2.52096"
"0.0306","2.51645","-0.000666186","0.00319885","2.51999"
"0.0307","2.51838","-0.00131036","0.00384302","2.52193"
"0.0308","2.51967","-0.0003441","0.00480928","2.52064"
"0.0309","2.51709","-0.000988272","0.00545345","2.52064"
"0.031","2.51516","-0.0003441","0.0041651","2.52064"
"0.0311","2.51709","-0.00131036","0.00384302","2.52031"
"0.0312","2.51613","-0.0003441","0.0041651","2.52064"
"0.0313","2.51677","-0.000988272","0.00352093","2.51999"
"0.0314","2.51935","-0.000666186","0.00384302","2.52031"
"0.0315","2.51709","-0.000666186","0.00513136","2.52031"
"0.0316","2.51935","-0.0003441","0.00448719","2.51999"
"0.0317","2.51903","-0.000666186","0.00448719","2.51967"
"0.0318","2.51677","-0.000666186","0.00480928","2.52031"
"0.0319","2.51613","-0.000666186","0.00352093","2.52031"
"0.032","2.51806","-0.000666186","0.00480928","2.51999"
"0.0321","2.51645","-0.000988272","0.00641971","2.52031"
"0.0322","2.5187","-0.000988272","0.00352093","2.52064"
"0.0323","2.51838","-0.000666186","0.00448719","2.52064"
"0.0324","2.51709","-0.000988272","0.00319885","2.52064"
"0.0325","2.51709","-0.00163244","0.00448719","2.51999"
"0.0326","2.51999","-0.000666186","0.0041651","2.51999"
"0.0327","2.51484","-0.000988272","0.0041651","2.52064"
"0.0328","2.51742","-0.000988272","0.00352093","2.52064"
"0.0329","2.51935","-0.000988272","0.0041651","2.52064"
"0.033","2.51677","-0.0003441","0.0041651","2.52064"
"0.0331","2.51742","-0.000988272","0.00384302","2.51999"
"0.0332","2.51709","-0.000666186","0.00480928","2.52064"
"0.0333","2.51774","-0.00131036","0.00641971","2.51999"
"0.0334","2.51806","-0.000666186","0.00545345","2.51967"
"0.0335","2.51742","-0.00131036","0.00577553","2.51999"
"0.0336","2.51581","-0.000988272","0.00480928","2.52031"
"0.0337","2.51581","-0.00131036","0.0041651","2.51999"
"0.0338","2.51903","-0.0003441","0.0041651","2.51935"
"0.0339","2.51548","-0.0003441","0.00384302","2.52064"
"0.034","2.51935","-0.000666186","0.00545345","2.52031"
"0.0341","2.51709","-0.000988272","0.00448719","2.52031"
"0.0342","2.51806","-0.0003441","0.00448719","2.52128"
"0.0343","2.51838","-0.00163244","0.00448719","2.51999"
"0.0344","2.51516","-0.000666186","0.00384302","2.52096"
"0.0345","2.51677","-0.000988272","0.00577553","2.52128"
"0.0346","2.51709","-0.000666186","0.00513136","2.52031"
"0.0347","2.51806","-0.000988272","0.0041651","2.52031"
"0.0348","2.51838","-2.20E-05","0.00513136","2.52064"
"0.0349","2.51677","-0.00131036","0.00480928","2.52096"
"0.035","2.5187","-0.0003441","0.00319885","2.52096"
"0.0351","2.51742","-0.00131036","0.0041651","2.52096"
"0.0352","2.51806","-0.0003441","0.00609762","2.51999"
"0.0353","2.51838","-0.000988272","0.00641971","2.52064"
"0.0354","2.5187","-0.00131036","0.00609762","2.52031"
"0.0355","2.51709","-0.000988272","0.00545345","2.52096"
"0.0356","2.51581","-2.20E-05","0.00352093","2.52031"
"0.0357","2.51709","-0.00131036","0.0041651","2.52031"
"0.0358","2.51838","-0.00131036","0.00352093","2.52096"
"0.0359","2.51677","-0.00163244","0.00513136","2.52096"
"0.036","2.51742","-0.000988272","0.00706388","2.52064"
"0.0361","2.51742","-0.00131036","0.00577553","2.52064"
"0.0362","2.51774","-0.000988272","0.00255467","2.52031"
"0.0363","2.51774","-0.00195453","0.00513136","2.52096"
"0.0364","2.51742","-0.000988272","0.00480928","2.52128"
"0.0365","2.51645","-0.00131036","0.00319885","2.52096"
"0.0366","2.51613","-2.20E-05","0.0041651","2.52064"
"0.0367","2.51838","-0.000666186","0.0041651","2.52128"
"0.0368","2.51838","-0.000666186","0.0041651","2.5216"
"0.0369","2.5187","-0.00131036","0.00352093","2.51999"
"0.037","2.51774","-0.0003441","0.0041651","2.52031"
"0.0371","2.51838","-0.00163244","0.00513136","2.51999"
"0.0372","2.51581","-0.000988272","0.00223259","2.52096"
"0.0373","2.51806","-0.00131036","0.00545345","2.52064"
"0.0374","2.51774","-0.000666186","0.00480928","2.52031"
"0.0375","2.51613","-0.00131036","0.00513136","2.52064"
"0.0376","2.51709","-0.000666186","0.0041651","2.5216"
"0.0377","2.51742","-0.00195453","0.00545345","2.52064"
"0.0378","2.51838","-0.000666186","0.00513136","2.52031"
"0.0379","2.51967","-0.00131036","0.0041651","2.52064"
"0.038","2.51677","-0.000988272","0.00223259","2.52064"
"0.0381","2.51645","-0.00163244","0.0041651","2.51967"
"0.0382","2.51709","-0.000666186","0.00545345","2.52031"
"0.0383","2.51581","-0.00131036","0.00513136","2.52031"
"0.0384","2.51838","-0.000666186","0.00319885","2.52128"
"0.0385","2.51677","-0.000988272","0.0041651","2.51999"
"0.0386","2.51613","-0.000666186","0.0041651","2.52064"
"0.0387","2.51774","-0.00195453","0.0041651","2.52096"
"0.0388","2.51967","-2.20E-05","0.00513136","2.52031"
"0.0389","2.51709","-0.000988272","0.00255467","2.52064"
"0.039","2.51903","-0.0003441","0.0041651","2.52064"
"0.0391","2.51774","-0.00131036","0.00384302","2.51967"
"0.0392","2.51677","-0.000666186","0.00513136","2.52096"
"0.0393","2.51838","-0.00131036","0.00545345","2.52096"
"0.0394","2.51838","-0.000666186","0.00319885","2.52031"
"0.0395","2.51774","-0.00131036","0.00287676","2.52064"
"0.0396","2.51548","-0.0003441","0.0041651","2.52064"
"0.0397","2.51742","-0.00163244","0.00480928","2.52031"
"0.0398","2.51709","-2.20E-05","0.0041651","2.51999"
"0.0399","2.51774","-0.000666186","0.00545345","2.52031"
"0.04","2.51806","-0.000666186","0.00384302","2.51999"
"0.0401","2.51709","-0.000988272","0.00384302","2.52096"
"0.0402","2.51935","-0.0003441","0.0041651","2.51999"
"0.0403","2.51774","-0.00163244","0.00480928","2.52096"
"0.0404","2.51742","-0.000666186","0.00480928","2.51935"
"0.0405","2.51806","-0.000988272","0.00513136","2.52031"
"0.0406","2.51774","-0.000666186","0.00480928","2.52031"
"0.0407","2.51774","-0.000666186","0.00577553","2.52031"
"0.0408","2.51999","-0.00131036","0.00319885","2.52128"
"0.0409","2.51677","-0.000988272","0.00448719","2.52064"
"0.041","2.51806","-0.0003441","0.0041651","2.52128"
"0.0411","2.52031","-0.000988272","0.00319885","2.52031"
"0.0412","2.51806","-0.000666186","0.00255467","2.52128"
"0.0413","2.51645","-0.00195453","0.00352093","2.52064"
"0.0414","2.51581","-0.000666186","0.00803014","2.52064"
"0.0415","2.51999","-0.000988272","0.00319885","2.52031"
"0.0416","2.51742","-0.0003441","0.00352093","2.52193"
"0.0417","2.51935","-0.000666186","0.00480928","2.52128"
"0.0418","2.51709","-0.000666186","0.00448719","2.52064"
"0.0419","2.51742","-0.00131036","0.00480928","2.52064"
"0.042","2.51806","-0.000666186","0.00448719","2.52064"
"0.0421","2.51709","-0.00163244","0.00545345","2.51999"
"0.0422","2.51742","-0.000666186","0.00287676","2.52096"
"0.0423","2.51806","-0.00131036","0.0041651","2.52064"
"0.0424","2.51677","-0.000988272","0.00480928","2.52031"
"0.0425","2.51581","-0.000988272","0.00287676","2.51935"
"0.0426","2.51645","-0.0003441","0.0041651","2.52031"
"0.0427","2.51838","-0.000988272","0.00287676","2.52064"
"0.0428","2.51613","-0.000666186","0.00287676","2.52064"
"0.0429","2.51967","-0.000988272","0.00448719","2.52064"
"0.043","2.51774","-0.000988272","0.00480928","2.52031"
"0.0431","2.51935","-0.000988272","0.0041651","2.51967"
"0.0432","2.51677","-0.000666186","0.00609762","2.52031"
"0.0433","2.51774","-0.000988272","0.00577553","2.52031"
"0.0434","2.51516","-0.0003441","0.00352093","2.52064"
"0.0435","2.51709","-0.00163244","0.00255467","2.52096"
"0.0436","2.51903","-0.000666186","0.00480928","2.52064"
"0.0437","2.51742","-0.00163244","0.00513136","2.52064"
"0.0438","2.51903","-0.0003441","0.00448719","2.52064"
"0.0439","2.51709","-0.000988272","0.00577553","2.52064"
"0.044","2.51548","-0.0003441","0.00384302","2.52064"
"0.0441","2.51581","-0.00163244","0.00480928","2.51999"
"0.0442","2.51838","-0.000666186","0.00577553","2.51999"
"0.0443","2.51709","-0.00131036","0.00319885","2.52031"
"0.0444","2.51774","-2.20E-05","0.00513136","2.51999"
"0.0445","2.51645","-0.00131036","0.00545345","2.51967"
"0.0446","2.51709","-0.000666186","0.00480928","2.52096"
"0.0447","2.51774","-0.00131036","0.00706388","2.52031"
"0.0448","2.51806","-0.000988272","0.00545345","2.52064"
"0.0449","2.51838","-0.00131036","0.00577553","2.52064"
"0.045","2.5187","-0.00131036","0.00480928","2.51999"
"0.0451","2.51742","-0.00131036","0.00384302","2.51999"
"0.0452","2.51677","-0.000666186","0.00319885","2.51999"
"0.0453","2.51742","-0.000988272","0.00480928","2.52064"
"0.0454","2.51806","-0.000988272","0.00352093","2.52064"
"0.0455","2.51613","-0.000988272","0.0041651","2.52128"
"0.0456","2.51774","-0.000666186","0.00480928","2.51967"
"0.0457","2.51806","-0.00131036","0.00352093","2.52128"
"0.0458","2.51999","-0.000988272","0.00545345","2.52064"
"0.0459","2.51806","-0.00131036","0.00674179","2.52096"
"0.046","2.51645","-0.00131036","0.00480928","2.52064"
"0.0461","2.51774","-0.00131036","0.00319885","2.52064"
"0.0462","2.51709","0.000300072","0.00223259","2.52031"
