Time - Gen,Voltage - Gen,Time - R,Voltage - R,Time - L,Voltage - L,Time - C,Voltage - C
"0,018","2,51935","0,018","-0,000666186","0,018","0,00319885","0,018","2,52031"
"0,0181","2,51774","0,0181","-0,00131036","0,0181","0,00513136","0,0181","2,52128"
"0,0182","2,51903","0,0182","-0,0003441","0,0182","0,00287676","0,0182","2,52064"
"0,0183","2,51709","0,0183","-0,000988272","0,0183","0,00480928","0,0183","2,52031"
"0,0184","2,51935","0,0184","-0,000666186","0,0184","0,00384302","0,0184","2,52064"
"0,0185","2,51709","0,0185","-0,00131036","0,0185","0,00513136","0,0185","2,52096"
"0,0186","2,51742","0,0186","-0,0003441","0,0186","0,00319885","0,0186","2,51999"
"0,0187","2,51645","0,0187","-0,00163244","0,0187","0,00352093","0,0187","2,52096"
"0,0188","2,51613","0,0188","-0,0003441","0,0188","0,0041651","0,0188","2,52096"
"0,0189","2,51742","0,0189","-0,000666186","0,0189","0,00384302","0,0189","2,52064"
"0,019","2,51581","0,019","-0,000666186","0,019","0,00545345","0,019","2,52096"
"0,0191","2,51452","0,0191","-0,00163244","0,0191","0,00545345","0,0191","2,52064"
"0,0192","2,5187","0,0192","-0,000988272","0,0192","0,00255467","0,0192","2,52064"
"0,0193","2,51645","0,0193","-0,000988272","0,0193","0,00577553","0,0193","2,52031"
"0,0194","2,51645","0,0194","-0,000666186","0,0194","0,00480928","0,0194","2,51999"
"0,0195","2,51774","0,0195","-0,00131036","0,0195","0,00513136","0,0195","2,52031"
"0,0196","2,51838","0,0196","-0,000666186","0,0196","0,00738597","0,0196","2,51999"
"0,0197","2,51742","0,0197","-0,00163244","0,0197","0,00577553","0,0197","2,51935"
"0,0198","2,51774","0,0198","-0,000666186","0,0198","0,00448719","0,0198","2,52128"
"0,0199","2,51742","0,0199","-0,00131036","0,0199","0,00448719","0,0199","2,52031"
"0,02","2,51742","0,02","-0,000666186","0,02","0,00480928","0,02","2,52064"
"0,0201","2,51806","0,0201","-0,000988272","0,0201","0,00287676","0,0201","2,52096"
"0,0202","2,51774","0,0202","-0,000988272","0,0202","0,00448719","0,0202","2,52031"
"0,0203","2,51742","0,0203","-0,000988272","0,0203","0,00319885","0,0203","2,52031"
"0,0204","2,51709","0,0204","-0,000666186","0,0204","0,00287676","0,0204","2,52128"
"0,0205","2,51806","0,0205","-0,00163244","0,0205","0,0041651","0,0205","2,52064"
"0,0206","2,51903","0,0206","-0,0003441","0,0206","0,00319885","0,0206","2,52031"
"0,0207","2,51742","0,0207","-0,00131036","0,0207","0,00674179","0,0207","2,52031"
"0,0208","2,51581","0,0208","-0,0003441","0,0208","0,00384302","0,0208","2,52031"
"0,0209","2,51742","0,0209","-0,000988272","0,0209","0,00513136","0,0209","2,51999"
"0,021","2,51774","0,021","-2,20E-05","0,021","0,00480928","0,021","2,52064"
"0,0211","2,51774","0,0211","-0,00131036","0,0211","0,00480928","0,0211","2,51999"
"0,0212","2,51935","0,0212","-0,000666186","0,0212","0,00448719","0,0212","2,52031"
"0,0213","2,51613","0,0213","-0,00131036","0,0213","0,00577553","0,0213","2,52128"
"0,0214","2,51806","0,0214","-0,000988272","0,0214","0,00287676","0,0214","2,52064"
"0,0215","2,51903","0,0215","-0,00131036","0,0215","0,00480928","0,0215","2,52064"
"0,0216","2,51806","0,0216","-0,000666186","0,0216","0,0041651","0,0216","2,52064"
"0,0217","2,52064","0,0217","-0,00163244","0,0217","0,00577553","0,0217","2,52031"
"0,0218","2,51709","0,0218","-0,0003441","0,0218","0,00352093","0,0218","2,52064"
"0,0219","2,51613","0,0219","-0,00163244","0,0219","0,00609762","0,0219","2,52031"
"0,022","2,51709","0,022","-0,00131036","0,022","0,00641971","0,022","2,52064"
"0,0221","2,51774","0,0221","-0,00163244","0,0221","0,00609762","0,0221","2,52064"
"0,0222","2,51709","0,0222","-2,20E-05","0,0222","0,00577553","0,0222","2,52128"
"0,0223","2,51645","0,0223","-0,000988272","0,0223","0,00319885","0,0223","2,51999"
