Frequency - Fgen,Amplitude - Fgen,Amplitude - R,Amplitude - L,Amplitude - C
18999.7,2.43812,1.13986,6.21679,5.94914
18999.7,2.43832,1.13996,6.21729,5.94972
18999.6,2.43837,1.13994,6.21703,5.94967
18999.7,2.43849,1.14003,6.21746,5.94989
18999.7,2.43824,1.14,6.21706,5.94956
18999.6,2.43831,1.14003,6.2176,5.94992
18999.7,2.43845,1.14005,6.21741,5.94985
18999.7,2.43824,1.13998,6.2173,5.94973
18999.6,2.43838,1.13996,6.21725,5.9497
18999.7,2.43813,1.13989,6.21692,5.94933
18999.6,2.4385,1.14002,6.21759,5.94984
18999.6,2.43828,1.13995,6.21716,5.94948
18999.7,2.43825,1.13997,6.2174,5.94971
18999.7,2.43817,1.13998,6.21737,5.94973
18999.6,2.43819,1.13995,6.21684,5.94936
18999.7,2.43854,1.14001,6.21782,5.94992
18999.7,2.4381,1.13996,6.21709,5.9494
18999.7,2.43851,1.14,6.21745,5.94947
18999.6,2.43819,1.14001,6.21726,5.94949
18999.7,2.43821,1.13999,6.21726,5.94942
18999.7,2.43848,1.14012,6.2177,5.94974
18999.7,2.43813,1.13995,6.21708,5.9493
18999.7,2.4381,1.13995,6.21693,5.94909
18999.7,2.43846,1.14008,6.21768,5.94972
18999.7,2.43828,1.13993,6.21718,5.94926
18999.6,2.43825,1.13989,6.2171,5.94914
18999.7,2.43862,1.14003,6.2173,5.94938
18999.7,2.43833,1.13997,6.21735,5.94939
18999.7,2.4383,1.13991,6.2168,5.94895
18999.7,2.43824,1.13994,6.21686,5.94887
18999.7,2.43815,1.13978,6.2166,5.94823
18999.7,2.43834,1.13988,6.21679,5.94865
18999.7,2.43819,1.13998,6.2171,5.94887
18999.7,2.4382,1.13992,6.21679,5.94855
18999.7,2.43849,1.1399,6.21702,5.94888
18999.7,2.43823,1.13994,6.21705,5.94878
18999.7,2.43826,1.13991,6.21684,5.94879
18999.7,2.43841,1.13996,6.2173,5.94933
18999.7,2.43847,1.13995,6.21745,5.94941
