Frequency - Fgen,Phase - Fgen,Phase - R,Phase - L,Phase - C
19499.8,0.00025658,-0.119623,1.53423,-1.26428
19499.9,-0.00380526,-0.123034,1.53062,-1.26783
19499.8,0.00106658,-0.118644,1.53521,-1.2633
19499.8,-0.00167899,-0.12122,1.53243,-1.26604
19499.8,-0.000751575,-0.120221,1.53358,-1.26499
19499.8,-0.00462246,-0.124216,1.52959,-1.26888
19499.8,-0.00139345,-0.120709,1.53295,-1.26554
19499.8,0.00134023,-0.118276,1.53539,-1.26312
19499.8,-0.0024553,-0.121813,1.53193,-1.26659
19499.8,-0.000579445,-0.120127,1.53374,-1.26482
19499.8,0.00115607,-0.118475,1.53528,-1.2632
19499.8,-0.00562758,-0.12534,1.52842,-1.27003
19499.7,-0.00315464,-0.122827,1.53083,-1.26764
19499.8,-0.00257093,-0.122287,1.53133,-1.26704
19499.7,0.000749847,-0.119043,1.53468,-1.26381
19499.8,-0.00209977,-0.121493,1.5321,-1.26637
19499.7,-0.0017019,-0.121393,1.53226,-1.26622
19499.8,-0.00119824,-0.120849,1.5329,-1.26561
19499.8,-0.000519035,-0.120287,1.53342,-1.26501
19499.8,0.00119015,-0.118491,1.5353,-1.26324
19499.7,0.000562732,-0.119202,1.53459,-1.26386
19499.8,0.00145597,-0.118234,1.53552,-1.26298
19499.8,0.000789596,-0.118555,1.53503,-1.26344
19499.8,-0.00267812,-0.122308,1.53149,-1.267
19499.8,5.17E-05,-0.119686,1.53404,-1.26443
19499.8,-0.00273335,-0.12244,1.53132,-1.26712
19499.8,-0.00407437,-0.123707,1.52998,-1.26848
19499.8,-0.00514593,-0.124784,1.52892,-1.26949
19499.8,-0.00358052,-0.123309,1.53035,-1.26805
19499.8,-0.00269611,-0.122529,1.53115,-1.26728
19499.7,-0.00385639,-0.123732,1.53002,-1.2685
19499.8,-0.00412582,-0.123866,1.52978,-1.26867
19499.8,-0.00263955,-0.122385,1.53128,-1.26714
19499.8,-0.000730796,-0.120291,1.53337,-1.26506
19499.7,-0.00264469,-0.122624,1.53113,-1.26735
19499.8,0.000813497,-0.118837,1.53484,-1.26359
19499.8,-0.000506201,-0.120244,1.53339,-1.26508
19499.8,-0.00557802,-0.125412,1.52828,-1.27011
19499.8,0.00226962,-0.117656,1.5361,-1.26238
19499.8,0.00108416,-0.11865,1.53509,-1.26337
19499.8,-0.0022282,-0.122133,1.5317,-1.26677
19499.8,-0.00362633,-0.123624,1.53019,-1.2683
19499.8,0.000785762,-0.118942,1.5347,-1.26372
19499.8,-0.000241875,-0.120099,1.53368,-1.26478
19499.8,0.0012434,-0.118661,1.53508,-1.2634
19499.8,-0.00488564,-0.124523,1.52921,-1.26922
19499.8,0.000834514,-0.11902,1.53462,-1.26376
19499.8,0.00180486,-0.117851,1.53585,-1.26262
19499.7,-0.00361127,-0.123455,1.53018,-1.26828
19499.8,0.00153021,-0.118067,1.53551,-1.26294
19499.7,0.00195856,-0.118028,1.53581,-1.26273
19499.8,-0.00318211,-0.122989,1.53066,-1.26781
19499.8,-0.00124327,-0.121129,1.53246,-1.26598
19499.8,-0.00312468,-0.123115,1.53058,-1.26779
19499.8,0.000478799,-0.119452,1.53425,-1.26415
19499.8,-0.00564149,-0.125488,1.52815,-1.27027
19499.8,-0.003936,-0.1239,1.52983,-1.26859
19499.8,0.000739866,-0.119313,1.53425,-1.26409
19499.8,-0.00450037,-0.124655,1.52922,-1.26922
19499.8,-3.05E-05,-0.120036,1.53369,-1.26478
19499.8,-0.00145394,-0.121351,1.53236,-1.26608
19499.7,4.97E-05,-0.119972,1.53364,-1.26477
19499.8,-0.00261544,-0.122326,1.53143,-1.26703
19499.8,-0.00223287,-0.122234,1.53153,-1.26692
19499.8,-0.00136391,-0.121149,1.53238,-1.26608
19499.8,-0.00234068,-0.122298,1.5313,-1.26719
19499.8,0.0011242,-0.118967,1.53475,-1.26362
19499.8,0.000379988,-0.119743,1.53389,-1.26448
19499.8,0.00202882,-0.118015,1.53568,-1.26279
19499.8,-0.00291464,-0.123157,1.53063,-1.26784
19499.8,-0.00215198,-0.122529,1.53133,-1.26703
19499.7,-0.00342043,-0.123798,1.53003,-1.26838
19499.8,-0.00263963,-0.122927,1.53082,-1.26751
19499.7,0.000987023,-0.119228,1.5344,-1.264
19499.7,0.000299857,-0.119815,1.53379,-1.26459
19499.7,-0.00175697,-0.121995,1.53163,-1.26679
19499.8,-0.00234611,-0.122595,1.53117,-1.26719
19499.7,-0.00385335,-0.124182,1.52948,-1.26889
19499.8,-0.00525777,-0.125428,1.52828,-1.27012
19499.8,-0.00135892,-0.121608,1.53218,-1.2663
19499.8,-0.000486398,-0.120732,1.53308,-1.26529
19499.8,0.000565536,-0.119482,1.53436,-1.2641
19499.8,-0.00257413,-0.122679,1.53096,-1.26747
19499.8,-0.00252796,-0.122624,1.53106,-1.26741
19499.8,-0.00190515,-0.122062,1.5318,-1.26671
19499.8,-0.00620078,-0.126311,1.52732,-1.27105
19499.8,0.00099532,-0.119214,1.53451,-1.26388
19499.8,-0.00491128,-0.12519,1.5286,-1.26977
19499.7,-0.00283112,-0.122951,1.53072,-1.26774
19499.7,-0.000540554,-0.12066,1.53283,-1.2655
19499.8,-0.00300681,-0.123063,1.53067,-1.2678
19499.7,-0.000296131,-0.120546,1.53311,-1.2653
19499.8,-0.00395308,-0.124116,1.52961,-1.26882
19499.8,-0.000624196,-0.120762,1.53292,-1.2655
19499.8,-0.00559287,-0.125588,1.52812,-1.27035
19499.8,0.000499168,-0.119831,1.53406,-1.26437
19499.8,-8.31E-05,-0.120182,1.53341,-1.26493
19499.8,-0.000250218,-0.120275,1.53342,-1.26495
19499.8,-0.00466158,-0.124716,1.52893,-1.26939
19499.8,0.000489369,-0.119893,1.53383,-1.26456
19499.8,-0.00331717,-0.123614,1.53009,-1.26829
19499.8,-0.00356079,-0.123791,1.5299,-1.26853
19499.7,-0.00152861,-0.122293,1.53152,-1.26689
19499.8,-0.00447524,-0.124726,1.5288,-1.26954
19499.8,-0.00421212,-0.124597,1.52899,-1.26939
19499.8,-0.00283552,-0.123319,1.53041,-1.26793
19499.8,-0.00488163,-0.125314,1.52848,-1.26991
19499.8,-0.00148611,-0.121822,1.53178,-1.26662
19499.7,-0.00256214,-0.123099,1.53065,-1.26773
19499.7,-0.00382135,-0.124344,1.52926,-1.26907
19499.8,0.000294061,-0.120111,1.53348,-1.26491
19499.8,-0.00298175,-0.123295,1.5303,-1.26802
19499.8,0.000185538,-0.120107,1.53357,-1.26484
19499.8,-0.00610315,-0.126326,1.52723,-1.2711
19499.8,-0.00105846,-0.121534,1.53227,-1.26613
19499.8,-0.00414264,-0.124513,1.52914,-1.2692
19499.8,-0.00391496,-0.124573,1.52919,-1.26919
19499.8,-0.000954044,-0.12154,1.53222,-1.26623
19499.8,0.000487445,-0.120309,1.53349,-1.26482
19499.7,-0.00112725,-0.121887,1.53186,-1.26649
19499.8,-0.00424267,-0.124832,1.52888,-1.26948
19499.7,0.000818318,-0.11995,1.53385,-1.26452
19499.8,-0.00277349,-0.123412,1.53038,-1.26795
19499.7,-0.00374442,-0.124495,1.52932,-1.26905
19499.8,-0.00310545,-0.123757,1.53005,-1.26838
19499.8,-0.000267693,-0.120909,1.53277,-1.26556
19499.7,-0.00232547,-0.123077,1.53058,-1.26778
19499.8,-0.00113351,-0.121848,1.53184,-1.26649
19499.8,-0.00356235,-0.124207,1.52955,-1.26882
19499.8,-0.00106742,-0.12178,1.53202,-1.26639
19499.7,-0.00256196,-0.123397,1.53028,-1.26806
