Frequency - Fgen,Phase - Fgen,Phase - R
35999.7,0.0193746,0.245437
35999.7,0.0238089,0.249941
35999.7,0.0186685,0.244852
35999.7,0.0277539,0.254029
35999.7,0.0232956,0.24943
35999.6,0.0205762,0.246606
35999.7,0.0267072,0.252861
35999.6,0.0201348,0.246064
35999.7,0.0222093,0.248257
35999.6,0.0251398,0.251237
35999.6,0.0220413,0.248059
35999.6,0.021947,0.247833
35999.6,0.0195593,0.245427
35999.7,0.0238313,0.250183
35999.7,0.0236671,0.249986
35999.6,0.0283209,0.254458
35999.7,0.0168468,0.243289
35999.7,0.0213192,0.247539
35999.7,0.021891,0.248305
35999.6,0.02202,0.248006
