Frequency - Fgen,Amplitude - Fgen,Amplitude - R,Amplitude - L,Amplitude - C
19499.8,2.44058,1.11698,6.2566,5.67807
19499.7,2.44035,1.1169,6.25706,5.67804
19499.8,2.44039,1.1169,6.25647,5.67767
19499.7,2.44017,1.11685,6.25603,5.67725
19499.8,2.44064,1.11689,6.25681,5.67759
19499.8,2.44031,1.11687,6.25616,5.67709
19499.8,2.44035,1.11692,6.25651,5.67734
19499.8,2.44071,1.11697,6.25702,5.67764
19499.8,2.44041,1.11688,6.25622,5.67701
19499.8,2.44024,1.11682,6.25617,5.67687
19499.8,2.44018,1.1168,6.25612,5.67693
19499.8,2.44055,1.11688,6.25645,5.6772
19499.8,2.44059,1.11692,6.25635,5.67711
19499.8,2.44038,1.1168,6.25603,5.67667
19499.7,2.44048,1.11693,6.25656,5.67717
19499.8,2.44055,1.11686,6.25642,5.67706
19499.8,2.44052,1.1169,6.25655,5.6773
19499.8,2.44045,1.11684,6.25585,5.67678
19499.8,2.44033,1.11682,6.25622,5.6768
19499.8,2.44053,1.11688,6.2564,5.67694
19499.8,2.44046,1.11684,6.25615,5.67675
19499.8,2.44068,1.11687,6.2561,5.67655
19499.8,2.44045,1.11692,6.25668,5.6769
19499.8,2.44038,1.11681,6.25613,5.67638
19499.7,2.44057,1.11686,6.25623,5.67662
19499.8,2.44033,1.11686,6.2563,5.6765
19499.7,2.44036,1.11675,6.25568,5.67613
19499.7,2.44029,1.11677,6.25586,5.6762
19499.7,2.44053,1.11685,6.2562,5.67658
19499.8,2.44035,1.11679,6.25616,5.67639
19499.7,2.4403,1.1168,6.25611,5.67637
19499.8,2.44065,1.11683,6.25612,5.67627
19499.8,2.44051,1.11685,6.25595,5.67643
19499.8,2.44072,1.11698,6.2568,5.67703
19499.8,2.44057,1.11687,6.25618,5.67666
19499.8,2.44066,1.11683,6.25629,5.67662
19499.8,2.44027,1.11677,6.25617,5.67654
19499.8,2.44058,1.11683,6.25616,5.67651
19499.8,2.44067,1.11693,6.25658,5.67684
19499.8,2.44035,1.11678,6.25611,5.67636
19499.8,2.44048,1.11677,6.25584,5.67633
19499.7,2.44039,1.11681,6.25591,5.67627
19499.7,2.4403,1.11678,6.25558,5.67607
19499.8,2.44021,1.1167,6.25584,5.67602
19499.7,2.44051,1.11686,6.25607,5.67628
19499.8,2.44064,1.1169,6.25639,5.67667
19499.8,2.44052,1.11677,6.25603,5.67632
19499.8,2.44031,1.11675,6.25567,5.67585
19499.8,2.44041,1.11679,6.25565,5.67582
19499.8,2.44042,1.11679,6.25591,5.67611
19499.8,2.44047,1.11677,6.25591,5.67594
19499.8,2.44068,1.1168,6.25632,5.67624
19499.8,2.44064,1.11679,6.25587,5.67586
19499.8,2.44063,1.11678,6.25582,5.67571
19499.8,2.44031,1.11671,6.25542,5.67498
19499.7,2.44041,1.11666,6.25536,5.67517
19499.8,2.44069,1.11675,6.25578,5.67546
19499.8,2.44043,1.11678,6.25565,5.67528
19499.8,2.44089,1.11683,6.25573,5.67527
19499.8,2.44042,1.1167,6.25522,5.6748
19499.8,2.44053,1.11672,6.2554,5.67499
19499.7,2.44063,1.11671,6.2556,5.67518
19499.7,2.44048,1.11666,6.25524,5.67499
19499.8,2.44061,1.11676,6.25553,5.67501
19499.8,2.44073,1.11675,6.25562,5.67512
