Frequency,Gen,R,L,C
18849.732,2.434,1.222,6.623,6.419
18899.878,2.434,1.221,6.635,6.396
18949.802,2.435,1.219,6.646,6.373
18949.814,2.434,1.219,6.646,6.373
18999.709,2.434,1.218,6.656,6.348
18999.695,2.434,1.218,6.656,6.348
19049.756,2.435,1.216,6.665,6.323
19099.789,2.435,1.214,6.673,6.296
19099.761,2.435,1.214,6.672,6.296
19149.854,2.435,1.212,6.678,6.268
19199.74,2.435,1.21,6.684,6.241
19199.721,2.436,1.21,6.683,6.241
19249.873,2.436,1.207,6.687,6.211
19249.797,2.436,1.207,6.687,6.211
19299.762,2.436,1.205,6.69,6.181
19349.907,2.436,1.202,6.691,6.15
19349.843,2.436,1.202,6.691,6.15
19399.778,2.437,1.198,6.691,6.118
19399.833,2.437,1.198,6.691,6.119
19449.704,2.437,1.195,6.69,6.086
19499.855,2.437,1.192,6.688,6.054
19499.807,2.437,1.192,6.689,6.055
19549.736,2.438,1.188,6.686,6.021
19549.718,2.438,1.188,6.686,6.021
19599.849,2.438,1.185,6.683,5.987
19649.809,2.438,1.181,6.679,5.954
19649.793,2.438,1.181,6.678,5.954
19699.873,2.439,1.177,6.673,5.919
19749.826,2.439,1.173,6.667,5.884
19749.8,2.439,1.173,6.668,5.884
19799.721,2.44,1.169,6.661,5.849
19799.725,2.439,1.169,6.661,5.849
19849.859,2.44,1.164,6.653,5.813
19899.755,2.44,1.16,6.644,5.776
19899.758,2.44,1.16,6.644,5.776
19949.749,2.441,1.156,6.637,5.742
19949.757,2.441,1.156,6.638,5.743
19999.709,2.441,1.15,6.623,5.7
20049.953,2.442,1.145,6.613,5.664
20049.914,2.442,1.145,6.613,5.665
20099.783,2.442,1.141,6.603,5.629
20099.835,2.442,1.141,6.604,5.63
20149.681,2.443,1.136,6.591,5.591
20199.782,2.443,1.131,6.578,5.553
20199.793,2.443,1.131,6.578,5.553
20249.715,2.444,1.126,6.566,5.515
20249.714,2.444,1.126,6.565,5.515
20299.828,2.444,1.121,6.552,5.478
20349.754,2.445,1.116,6.538,5.439
20349.799,2.444,1.116,6.537,5.439
20399.869,2.445,1.11,6.523,5.401
20449.78,2.446,1.105,6.508,5.363
20449.765,2.446,1.105,6.508,5.363
20499.913,2.446,1.1,6.492,5.324
20499.836,2.446,1.1,6.493,5.325
20549.819,2.447,1.094,6.476,5.286
20599.755,2.447,1.089,6.46,5.248
20599.734,2.447,1.089,6.46,5.249
20649.802,2.448,1.083,6.443,5.21
20649.82,2.447,1.083,6.443,5.21
20699.756,2.448,1.078,6.426,5.172
20749.805,2.449,1.072,6.408,5.133
20749.808,2.449,1.073,6.409,5.134
20799.734,2.449,1.067,6.391,5.096
20799.78,2.449,1.067,6.391,5.096
20849.883,2.449,1.061,6.373,5.057
20899.762,2.45,1.056,6.354,5.019
20899.81,2.45,1.056,6.355,5.019
20949.695,2.451,1.05,6.336,4.981
20999.82,2.451,1.045,6.317,4.943
20999.807,2.451,1.045,6.317,4.944
21049.723,2.452,1.039,6.298,4.905
21049.733,2.452,1.039,6.298,4.906
21099.851,2.452,1.033,6.278,4.868
21149.747,2.452,1.028,6.259,4.83
21149.752,2.453,1.028,6.259,4.831
21199.807,2.453,1.022,6.239,4.793
21199.903,2.453,1.022,6.239,4.793
21249.793,2.454,1.016,6.219,4.755
21299.852,2.454,1.01,6.198,4.718
21299.885,2.454,1.01,6.199,4.719
21349.818,2.454,1.005,6.178,4.681
21349.843,2.454,1.005,6.179,4.682
21399.728,2.455,0.999,6.158,4.645
21449.766,2.455,0.994,6.138,4.608
21449.771,2.455,0.994,6.138,4.609
21499.726,2.456,0.988,6.117,4.572
21546.533,2.457,0.983,6.1,4.54
21549.856,2.456,0.983,6.098,4.537
21599.751,2.457,0.977,6.077,4.501
21599.759,2.457,0.977,6.077,4.502
21649.882,2.457,0.971,6.055,4.465
21699.842,2.457,0.966,6.035,4.43
21699.824,2.458,0.966,6.036,4.431
21749.691,2.458,0.96,6.014,4.395
21749.713,2.458,0.96,6.015,4.396
21799.785,2.458,0.955,5.993,4.36
21849.697,2.459,0.949,5.972,4.325
21849.742,2.459,0.949,5.973,4.326
21899.852,2.459,0.943,5.951,4.291
21899.834,2.459,0.944,5.952,4.292
21949.759,2.46,0.938,5.931,4.257
21999.876,2.46,0.933,5.909,4.223
21999.862,2.46,0.933,5.91,4.224
22049.779,2.46,0.927,5.889,4.189
22099.685,2.461,0.922,5.868,4.156
22099.699,2.461,0.922,5.868,4.157
22149.773,2.461,0.916,5.847,4.123
22149.799,2.461,0.916,5.847,4.124
22199.664,2.462,0.911,5.826,4.09
22249.827,2.462,0.906,5.806,4.058
22249.81,2.462,0.906,5.806,4.058
22299.673,2.463,0.901,5.785,4.025
22299.728,2.462,0.901,5.785,4.026
22349.85,2.463,0.895,5.764,3.993
22399.751,2.463,0.89,5.743,3.961
22399.758,2.463,0.89,5.743,3.962
22449.888,2.464,0.885,5.723,3.93
22449.837,2.464,0.885,5.722,3.93
22499.79,2.464,0.88,5.702,3.898
22549.687,2.464,0.875,5.681,3.867
22549.696,2.464,0.875,5.682,3.868
22599.767,2.465,0.87,5.661,3.837
22599.803,2.465,0.87,5.661,3.837
22649.792,2.465,0.865,5.641,3.807
22699.835,2.465,0.859,5.62,3.776
22699.879,2.465,0.859,5.621,3.776
22749.756,2.466,0.855,5.6,3.746
22799.821,2.466,0.85,5.58,3.716
22799.913,2.466,0.85,5.58,3.717
22849.758,2.466,0.845,5.56,3.687
22849.816,2.466,0.845,5.56,3.688
22899.671,2.467,0.84,5.54,3.658
22949.818,2.467,0.835,5.52,3.629
22949.781,2.467,0.835,5.52,3.63
22999.724,2.467,0.83,5.5,3.601
22999.725,2.468,0.83,5.501,3.601
23049.816,2.468,0.825,5.481,3.573
23099.728,2.468,0.821,5.461,3.545
23099.694,2.468,0.821,5.462,3.545
23149.832,2.468,0.816,5.442,3.517
23149.867,2.468,0.816,5.442,3.517
23199.789,2.469,0.811,5.423,3.49
23249.712,2.468,0.807,5.404,3.462
23249.7,2.469,0.807,5.404,3.463
23299.765,2.469,0.802,5.384,3.435
23349.703,2.47,0.798,5.366,3.409
23349.705,2.47,0.798,5.366,3.409
23399.758,2.47,0.793,5.347,3.382
23399.807,2.47,0.793,5.347,3.383
23449.728,2.47,0.789,5.329,3.357
23499.854,2.47,0.784,5.31,3.33
23499.814,2.47,0.784,5.31,3.331
23549.759,2.471,0.78,5.292,3.305
23549.722,2.471,0.78,5.292,3.305
23599.878,2.471,0.775,5.273,3.28
23649.803,2.471,0.771,5.255,3.254
23649.764,2.471,0.771,5.255,3.255
23699.67,2.471,0.767,5.237,3.229
23699.701,2.471,0.767,5.237,3.23
23749.776,2.472,0.762,5.219,3.205
23799.712,2.472,0.758,5.201,3.18
23799.742,2.472,0.758,5.202,3.181
23849.782,2.472,0.754,5.183,3.156
23849.795,2.472,0.754,5.183,3.156
23899.739,2.473,0.75,5.166,3.132
23949.838,2.473,0.746,5.148,3.108
23949.827,2.473,0.746,5.148,3.108
23999.789,2.473,0.742,5.131,3.084
24049.737,2.473,0.738,5.113,3.061
