Frequency - Fgen,Phase - R,
39200.1,-55.5883,0.963343
39300.2,-55.3741,0.963343
39350.3,-56.2331,0.963343
39400.2,-55.5871,0.963343
39450.3,-55.9248,0.963343
39500.2,-55.9388,0.963343
39550.1,-55.7741,0.963343
39600.2,-55.2924,0.963343
39700.3,-55.2694,0.963343
39750.2,-56.1554,0.963343
39800.3,-55.7715,0.963343
39850.2,-55.4375,0.963343
39900.1,-55.6431,0.963343
40000.2,-55.3461,0.963343
40050.3,-55.4103,0.963343
40100.2,-55.7003,0.963343
40150.3,-55.4461,0.963343
40200.2,-55.3319,0.963343
40250.3,-55.5458,0.963343
40300.2,-55.7942,0.963343
40400.3,-55.7037,0.963343
40450.2,-55.8716,0.963343
40500.3,-55.6521,0.963343
40550.2,-54.9454,0.963343
40600.3,-55.6592,0.963343
40700.1,-55.4531,0.963343
40750.2,-55.9623,0.963343
40800.2,-55.6226,0.963343
40850.3,-55.565,0.963343
40900.2,-55.0556,0.963343
40950.3,-55.0573,0.963343
41000.2,-55.4972,0.963343
41100.2,-55.0658,0.963343
41150.2,-55.1673,0.963343
41200.3,-54.6641,0.963343
41250.2,-55.4716,0.963343
41300.3,-55.1036,0.963343
41400.3,-54.8559,0.963343
41450.2,-54.5111,0.963343
41550.3,-55.1,0.963343
41600.2,-54.8246,0.963343
41650.3,-55.2066,0.963343
41700.2,-55.0245,0.963343
41750.3,-54.4675,0.963343
41800.2,-55.1315,0.963343
41850.1,-54.1315,0.963343
41900.2,-54.1087,0.963343
41950.2,-54.2847,0.963343
42000.3,-54.1215,0.963343
42050.2,-54.4769,0.963343
42100.3,-54.8686,0.963343
42200.3,-54.8644,0.963343
42250.2,-54.8351,0.963343
42300.2,-54.4906,0.963343
42350.3,-54.6334,0.963343
42400.2,-53.9034,0.963343
42450.3,-54.3323,0.963343
42500.2,-54.6169,0.963343
42600.2,-54.73,0.963343
42650.2,-54.4057,0.963343
42700.3,-54.7187,0.963343
42750.2,-54.1971,0.963343
42800.3,-53.6809,0.963343
42850.2,-54.58,0.963343
42900.3,-53.8932,0.963343
43000.1,-53.9649,0.963343
43050.3,-54.2245,0.963343
43100.2,-54.4613,0.963343
43150.3,-54.0332,0.963343
43200.2,-54.1169,0.963343
43250.3,-54.3985,0.963343
43300.2,-53.7957,0.963343
43400.2,-53.264,0.963343
43450.2,-53.9713,0.963343
43500.3,-53.5687,0.963343
43550.2,-53.9083,0.963343
43600.3,-53.6205,0.963343
43700.3,-53.4507,0.963343
43750.2,-53.6695,0.963343
43800.2,-53.8815,0.963343
43850.3,-53.303,0.963343
43900.2,-53.1035,0.963343
43950.3,-53.9975,0.963343
44000.2,-53.9026,0.963343
44100.2,-53.4854,0.963343
44150.3,-53.4108,0.963343
44200.3,-52.6517,0.963343
44250.2,-52.9098,0.963343
44300.3,-52.8824,0.963343
44350.2,-53.0183,0.963343
44400.3,-53.0573,0.963343
44500.3,-53.1947,0.963343
44550.3,-52.5029,0.963343
44600.2,-52.8942,0.963343
44650.3,-53.248,0.963343
44700.2,-53.4109,0.963343
44750.3,-52.9471,0.963343
44800.2,-52.4851,0.963343
44850.3,-53.2765,0.963343
44900.2,-52.7253,0.963343
44950.2,-52.4907,0.963343
