Frequency - Fgen,Phase - Fgen,Phase - R,Phase - L,Phase - C,,,,
9450,-4.54326,65.318,162.478,-5.758,0.963342836,0.963342836,0.963342836,0.963342836
9500.1,-4.59633,65.2508,162.431,-5.853,0.963342836,0.963342836,0.963342836,0.963342836
9550.02,-4.1738,65.6112,162.779,-5.48,0.963342836,0.963342836,0.963342836,0.963342836
9600.13,-4.19104,65.5267,162.687,-5.547,0.963342836,0.963342836,0.963342836,0.963342836
9650.04,-4.58002,65.1077,162.191,-6,0.963342836,0.963342836,0.963342836,0.963342836
9750.07,-4.48173,65.1901,162.159,-6.003,0.963342836,0.963342836,0.963342836,0.963342836
9799.99,-4.25292,65.3585,162.336,-5.814,0.963342836,0.963342836,0.963342836,0.963342836
9850.09,-4.3564,65.2356,162.157,-5.973,0.963342836,0.963342836,0.963342836,0.963342836
9900.02,-4.22293,65.4043,162.199,-5.873,0.963342836,0.963342836,0.963342836,0.963342836
9950.12,-4.28262,65.3203,162.037,-6.009,0.963342836,0.963342836,0.963342836,0.963342836
10000,-4.52961,64.9974,161.782,-6.297,0.963342836,0.963342836,0.963342836,0.963342836
10050.1,-4.46982,65.0394,161.74,-6.29,0.963342836,0.963342836,0.963342836,0.963342836
10150,-4.51425,64.8774,161.489,-6.458,0.963342836,0.963342836,0.963342836,0.963342836
10200.1,-4.43396,65.0072,161.515,-6.436,0.963342836,0.963342836,0.963342836,0.963342836
10250,-4.23813,65.0321,161.599,-6.3,0.963342836,0.963342836,0.963342836,0.963342836
10300.1,-3.97876,65.3247,161.762,-6.119,0.963342836,0.963342836,0.963342836,0.963342836
10350,-4.31811,64.9132,161.361,-6.511,0.963342836,0.963342836,0.963342836,0.963342836
10400.1,-4.60903,64.5352,160.96,-6.878,0.963342836,0.963342836,0.963342836,0.963342836
10450.1,-4.30819,64.7924,161.194,-6.626,0.963342836,0.963342836,0.963342836,0.963342836
10500,-4.26237,64.8283,161.14,-6.654,0.963342836,0.963342836,0.963342836,0.963342836
10550.1,-4.03248,65.0136,161.31,-6.497,0.963342836,0.963342836,0.963342836,0.963342836
10600,-4.02179,64.8788,161.211,-6.548,0.963342836,0.963342836,0.963342836,0.963342836
10650.1,-4.40133,64.5593,160.715,-6.992,0.963342836,0.963342836,0.963342836,0.963342836
10700,-4.28856,64.5139,160.77,-6.959,0.963342836,0.963342836,0.963342836,0.963342836
10800,-4.52642,64.194,160.357,-7.345,0.963342836,0.963342836,0.963342836,0.963342836
10850,-4.3513,64.2417,160.391,-7.228,0.963342836,0.963342836,0.963342836,0.963342836
10900.1,-4.52322,64.1208,160.176,-7.458,0.963342836,0.963342836,0.963342836,0.963342836
10950,-4.41756,64.0644,160.103,-7.473,0.963342836,0.963342836,0.963342836,0.963342836
11000.1,-4.06916,64.3958,160.352,-7.173,0.963342836,0.963342836,0.963342836,0.963342836
11050,-4.06326,64.2913,160.256,-7.27,0.963342836,0.963342836,0.963342836,0.963342836
11100.1,-4.08238,64.3483,160.14,-7.359,0.963342836,0.963342836,0.963342836,0.963342836
11150,-4.35142,63.8226,159.755,-7.716,0.963342836,0.963342836,0.963342836,0.963342836
11200.1,-3.80864,64.3546,160.206,-7.274,0.963342836,0.963342836,0.963342836,0.963342836
11250.1,-4.4733,63.5688,159.39,-7.992,0.963342836,0.963342836,0.963342836,0.963342836
11300,-4.26177,63.728,159.555,-7.859,0.963342836,0.963342836,0.963342836,0.963342836
11350.1,-4.39852,63.5416,159.298,-8.087,0.963342836,0.963342836,0.963342836,0.963342836
11450.1,-4.58033,63.1596,158.799,-8.467,0.963342836,0.963342836,0.963342836,0.963342836
11500,-4.26676,63.4498,159.045,-8.233,0.963342836,0.963342836,0.963342836,0.963342836
11550.1,-4.34243,63.2712,158.854,-8.415,0.963342836,0.963342836,0.963342836,0.963342836
11600.1,-4.27593,63.2365,158.769,-8.439,0.963342836,0.963342836,0.963342836,0.963342836
11650,-4.12475,63.2748,158.833,-8.384,0.963342836,0.963342836,0.963342836,0.963342836
11700.1,-4.38899,62.9442,158.409,-8.746,0.963342836,0.963342836,0.963342836,0.963342836
11750,-4.35381,62.8842,158.291,-8.824,0.963342836,0.963342836,0.963342836,0.963342836
11800.1,-3.99828,63.124,158.537,-8.574,0.963342836,0.963342836,0.963342836,0.963342836
11850,-4.59169,62.4567,157.843,-9.244,0.963342836,0.963342836,0.963342836,0.963342836
11900.1,-4.30955,62.6312,157.964,-9.065,0.963342836,0.963342836,0.963342836,0.963342836
11950.1,-4.28029,62.5874,157.849,-9.149,0.963342836,0.963342836,0.963342836,0.963342836
12000.2,-4.60614,62.1212,157.415,-9.565,0.963342836,0.963342836,0.963342836,0.963342836
12100,-4.10114,62.367,157.658,-9.297,0.963342836,0.963342836,0.963342836,0.963342836
12150.1,-4.31879,62.0784,157.309,-9.625,0.963342836,0.963342836,0.963342836,0.963342836
12200,-4.11687,62.1458,157.346,-9.536,0.963342836,0.963342836,0.963342836,0.963342836
12250.1,-4.3454,61.8244,156.931,-9.883,0.963342836,0.963342836,0.963342836,0.963342836
12300,-4.15696,61.8495,156.988,-9.837,0.963342836,0.963342836,0.963342836,0.963342836
12350.2,-4.29398,61.6348,156.735,-10.079,0.963342836,0.963342836,0.963342836,0.963342836
12400.1,-4.32341,61.5158,156.54,-10.23,0.963342836,0.963342836,0.963342836,0.963342836
12500.1,-3.89528,61.6312,156.662,-10.043,0.963342836,0.963342836,0.963342836,0.963342836
12550,-4.11653,61.2547,156.253,-10.419,0.963342836,0.963342836,0.963342836,0.963342836
12600.1,-4.16904,61.1926,156.097,-10.579,0.963342836,0.963342836,0.963342836,0.963342836
12650,-3.85848,61.2797,156.186,-10.415,0.963342836,0.963342836,0.963342836,0.963342836
12700.1,-4.12299,60.8754,155.765,-10.8,0.963342836,0.963342836,0.963342836,0.963342836
12800,-4.15254,60.5929,155.417,-11.118,0.963342836,0.963342836,0.963342836,0.963342836
12850.1,-4.1807,60.4235,155.23,-11.287,0.963342836,0.963342836,0.963342836,0.963342836
12900,-4.03432,60.3424,155.222,-11.291,0.963342836,0.963342836,0.963342836,0.963342836
12950.1,-4.31766,59.9897,154.737,-11.708,0.963342836,0.963342836,0.963342836,0.963342836
13000,-4.05601,60.0277,154.806,-11.612,0.963342836,0.963342836,0.963342836,0.963342836
13050.1,-4.56534,59.3927,154.106,-12.275,0.963342836,0.963342836,0.963342836,0.963342836
13100.1,-4.1526,59.6685,154.346,-11.996,0.963342836,0.963342836,0.963342836,0.963342836
13200.1,-4.39001,59.0791,153.745,-12.557,0.963342836,0.963342836,0.963342836,0.963342836
13250,-4.00939,59.2888,153.933,-12.328,0.963342836,0.963342836,0.963342836,0.963342836
13300.1,-3.86546,59.343,153.873,-12.358,0.963342836,0.963342836,0.963342836,0.963342836
13350,-4.2798,58.7531,153.249,-12.939,0.963342836,0.963342836,0.963342836,0.963342836
13400.1,-3.93394,58.8819,153.412,-12.755,0.963342836,0.963342836,0.963342836,0.963342836
13450,-4.15614,58.4396,153.007,-13.152,0.963342836,0.963342836,0.963342836,0.963342836
13500.2,-3.96394,58.531,152.985,-13.118,0.963342836,0.963342836,0.963342836,0.963342836
13600,-3.73704,58.376,152.8,-13.258,0.963342836,0.963342836,0.963342836,0.963342836
13650.1,-3.80032,58.0961,152.506,-13.51,0.963342836,0.963342836,0.963342836,0.963342836
13700,-3.95761,57.8059,152.143,-13.832,0.963342836,0.963342836,0.963342836,0.963342836
13750.1,-4.22787,57.2739,151.623,-14.316,0.963342836,0.963342836,0.963342836,0.963342836
13800,-3.75417,57.5101,151.89,-14.028,0.963342836,0.963342836,0.963342836,0.963342836
13900.1,-4.43661,56.4746,150.764,-15.111,0.963342836,0.963342836,0.963342836,0.963342836
13950,-3.78324,56.9007,151.171,-14.66,0.963342836,0.963342836,0.963342836,0.963342836
14000.1,-4.01208,56.4714,150.692,-15.102,0.963342836,0.963342836,0.963342836,0.963342836
14050,-4.31692,55.9453,150.166,-15.597,0.963342836,0.963342836,0.963342836,0.963342836
14100.1,-4.0238,56.0369,150.213,-15.518,0.963342836,0.963342836,0.963342836,0.963342836
14150,-4.08018,55.7267,149.889,-15.798,0.963342836,0.963342836,0.963342836,0.963342836
14200.1,-4.05219,55.5502,149.673,-15.989,0.963342836,0.963342836,0.963342836,0.963342836
14300.2,-4.17879,54.9512,149.041,-16.555,0.963342836,0.963342836,0.963342836,0.963342836
14350.1,-4.09999,54.7948,148.864,-16.704,0.963342836,0.963342836,0.963342836,0.963342836
14400,-3.92561,54.7372,148.784,-16.761,0.963342836,0.963342836,0.963342836,0.963342836
14450.1,-3.7729,54.6701,148.647,-16.859,0.963342836,0.963342836,0.963342836,0.963342836
