Frequency - Fgen,Phase - Fgen,Phase - R,Phase - L,Phase - C
16999.8,0.00973733,0.562715,2.2004,-0.631741
16999.8,0.00822468,0.561535,2.19896,-0.633043
17099.9,0.00690618,0.533943,2.17251,-0.658295
17099.9,0.00839468,0.535363,2.17374,-0.656988
17099.8,0.0105192,0.537173,2.17548,-0.655306
17199.8,0.00664462,0.506313,2.14537,-0.683953
17199.8,0.00984183,0.50913,2.14816,-0.681206
17199.9,0.00754968,0.506968,2.14601,-0.683345
17199.8,0.00874287,0.507935,2.14702,-0.682319
17299.9,0.00807585,0.479663,2.11934,-0.708453
17299.9,0.00818319,0.479534,2.1191,-0.708519
17299.9,0.00706887,0.47857,2.11808,-0.709634
17399.9,0.0110084,0.454046,2.09418,-0.731669
17399.8,0.0102999,0.452627,2.09282,-0.732903
17399.9,0.00625882,0.448814,2.08906,-0.736707
17499.8,0.0083964,0.429072,2.06897,-0.754835
17499.7,0.00758929,0.427757,2.06784,-0.756085
17499.7,0.00710549,0.42712,2.06705,-0.756727
17599.8,0.00791174,0.401473,2.04274,-0.781066
17599.8,0.00796231,0.401365,2.04276,-0.781151
17599.8,0.00800284,0.401379,2.04265,-0.781068
17599.8,0.00516046,0.398013,2.0396,-0.784245
17699.8,0.00794521,0.372561,2.01473,-0.807971
17699.8,0.00978908,0.37417,2.01641,-0.806228
17699.8,0.00383613,0.368505,2.01044,-0.812125
17799.8,0.00723783,0.342153,1.98497,-0.836344
17799.7,0.00298769,0.337578,1.98039,-0.840859
17799.8,0.00743043,0.341977,1.98491,-0.836415
17899.9,0.00606551,0.31204,1.95564,-0.863991
17899.8,0.00516916,0.310754,1.95441,-0.865194
17899.9,0.00619257,0.312153,1.95563,-0.864063
17899.8,0.00504612,0.310687,1.95419,-0.865391
17999.8,0.00231095,0.278539,1.92274,-0.895205
17999.9,0.00379221,0.280139,1.92432,-0.893661
17999.9,0.00266387,0.27888,1.92294,-0.894993
18099.9,0.00595347,0.253313,1.89764,-0.918306
18099.8,0.00647235,0.253357,1.89789,-0.918114
18099.9,0.00388431,0.251077,1.89558,-0.920421
18199.9,0.00385618,0.222487,1.86722,-0.946693
18199.9,0.00478965,0.223189,1.86799,-0.945949
18199.8,0.00101711,0.218919,1.86368,-0.950195
18199.8,0.00617831,0.224,1.86878,-0.945061
18299.7,0.00450992,0.194648,1.8397,-0.971958
18299.7,0.00140893,0.192019,1.83684,-0.97476
18299.7,0.00386137,0.194046,1.83901,-0.972635
18399.7,0.000951419,0.16977,1.81654,-0.997147
18399.8,0.00187071,0.17088,1.81778,-0.99599
18399.7,0.0021285,0.17122,1.81802,-0.99568
18499.8,-6.58E-05,0.139898,1.78742,-1.02486
18499.8,-0.00121451,0.138793,1.78634,-1.02596
18499.8,-0.00091851,0.13894,1.78645,-1.02584
18599.8,-0.000485127,0.110886,1.75885,-1.05176
18599.9,0.00290659,0.114456,1.76242,-1.04823
18599.8,0.00377435,0.115029,1.76304,-1.04764
18599.8,-0.00209981,0.108987,1.75707,-1.05359
18699.8,0.000893521,0.0836954,1.73237,-1.07642
18699.8,-0.000872238,0.0819107,1.73057,-1.07827
18699.8,0.00338329,0.0862351,1.73491,-1.07394
18799.8,0.00216158,0.0573289,1.7064,-1.10045
18799.8,-0.00175466,0.0535149,1.70261,-1.10427
18799.8,-0.00101102,0.0544565,1.70349,-1.10341
18899.9,-0.00256314,0.0264824,1.6758,-1.12909
18899.8,-0.00311616,0.0260385,1.67519,-1.12964
18899.8,0.000363248,0.0295265,1.67878,-1.12611
18948.1,-0.14749,-0.0982565,1.5518,-1.25697
18999.7,-2.55E-05,0.00352534,1.6532,-1.14966
18999.7,-0.00321375,0.000644047,1.65015,-1.15272
18999.7,-0.00132096,0.00218527,1.65179,-1.15118
19099.7,-0.0026958,-0.0233491,1.62637,-1.17454
19099.7,-0.00181866,-0.0227604,1.62729,-1.17364
19099.7,-0.00302178,-0.0239322,1.62586,-1.17499
19199.8,-0.00317641,-0.0475484,1.60456,-1.19907
19199.7,-0.00104975,-0.0456687,1.60646,-1.19717
19199.8,-0.00339268,-0.047801,1.60437,-1.19926
19299.7,-0.00106423,-0.0718385,1.58086,-1.22102
19299.8,-0.000485922,-0.0712036,1.58161,-1.22031
19299.7,0.000473097,-0.0703488,1.5823,-1.21959
19299.8,-0.00344583,-0.0737535,1.57889,-1.22302
19399.8,-0.00051016,-0.096126,1.55717,-1.24299
19399.7,-0.0012646,-0.096801,1.55637,-1.24375
19399.8,-0.0020271,-0.0973078,1.5559,-1.24429
19499.7,0.0010485,-0.118717,1.53505,-1.26339
19499.8,-0.000649728,-0.119876,1.53376,-1.26472
19499.7,-0.00197871,-0.121538,1.53219,-1.26633
19599.9,-0.00100662,-0.143507,1.51065,-1.28598
19599.8,-0.00308932,-0.145335,1.50876,-1.28797
19599.9,-0.00562059,-0.147696,1.50632,-1.29039
19699.9,-0.00081728,-0.165134,1.48919,-1.30572
19699.9,0.00130086,-0.163067,1.49154,-1.30345
19699.9,0.000263577,-0.164072,1.4904,-1.3046
19699.9,-0.00396674,-0.168289,1.48609,-1.30879
19799.7,0.000711748,-0.185237,1.46951,-1.3236
19799.7,-0.00464838,-0.190068,1.46456,-1.3286
19799.7,-0.000318779,-0.186059,1.46882,-1.32438
19899.7,-0.00191708,-0.207784,1.44739,-1.34427
19899.7,-0.000794393,-0.206816,1.44844,-1.34326
19899.8,0.000212382,-0.205337,1.44984,-1.3419
19999.8,-0.00153701,-0.231751,1.42559,-1.36794
19999.8,-0.00475249,-0.23465,1.4227,-1.37092
19999.7,-0.00456919,-0.23464,1.42275,-1.37086
19999.8,-0.00462833,-0.234755,1.4228,-1.37086
20099.7,-0.0034792,-0.255114,1.40281,-1.38916
20099.7,-0.000905309,-0.252562,1.40538,-1.38665
20099.8,-0.00471248,-0.256236,1.40164,-1.39032
20199.8,-0.000743776,-0.272942,1.38556,-1.40486
20199.7,-0.00571587,-0.277962,1.38043,-1.40995
20199.8,-0.00113491,-0.273133,1.38534,-1.40513
20299.8,-0.00694651,-0.299069,1.35997,-1.4288
20299.8,0.000386815,-0.29155,1.36735,-1.42139
20299.8,-0.00175723,-0.293603,1.36545,-1.42343
