Frequency - Fgen,Amplitude - Fgen,Amplitude - R,Amplitude - L,Amplitude - C
19699.9,2.44194,1.10447,6.25092,5.55897
19699.9,2.44203,1.10455,6.25169,5.5599
19699.9,2.44194,1.10461,6.25129,5.55969
19699.9,2.44199,1.10453,6.25115,5.55951
19799.7,2.44245,1.09734,6.24308,5.49624
19799.7,2.44231,1.09742,6.24315,5.49672
19799.7,2.44247,1.09746,6.24363,5.49721
19899.7,2.44337,1.08987,6.23264,5.43226
19899.7,2.44343,1.08992,6.23254,5.4326
19899.8,2.44341,1.09004,6.2332,5.43318
19999.8,2.44421,1.08194,6.2189,5.36619
19999.8,2.44425,1.08215,6.21966,5.36721
19999.7,2.4442,1.08199,6.21905,5.3669
19999.8,2.44413,1.08213,6.21945,5.36725
20099.7,2.44462,1.07372,6.20257,5.30032
20099.7,2.44483,1.07377,6.20268,5.30068
20099.8,2.44479,1.07378,6.20265,5.3007
20199.8,2.44542,1.06519,6.18461,5.23349
20199.7,2.44551,1.06529,6.18492,5.23438
20199.8,2.44549,1.06532,6.1853,5.23459
20299.8,2.44632,1.05659,6.1648,5.16658
20299.8,2.44645,1.05668,6.16556,5.16746
20299.8,2.44627,1.05664,6.16536,5.16761
20299.8,2.4463,1.05663,6.16513,5.16742
20399.9,2.44732,1.04782,6.14395,5.09966
20399.8,2.44754,1.0478,6.14433,5.10019
20399.9,2.44704,1.04779,6.14394,5.10017
20499.9,2.44788,1.0385,6.12002,5.03125
20499.9,2.44821,1.03874,6.12104,5.03252
20499.8,2.44782,1.03868,6.1205,5.03214
20599.8,2.44872,1.02924,6.09525,4.96313
20599.8,2.44892,1.02934,6.09543,4.96366
20599.7,2.44863,1.0294,6.09585,4.96406
20699.8,2.44954,1.01964,6.06795,4.89386
20699.8,2.44979,1.0198,6.06904,4.89483
20699.8,2.44982,1.01986,6.06906,4.89515
20699.8,2.44985,1.01986,6.06883,4.89522
20799.8,2.45058,1.01018,6.04066,4.82658
20799.7,2.45067,1.01025,6.0407,4.82696
20799.7,2.45081,1.01019,6.04118,4.82742
20899.8,2.45151,1.00008,6.00988,4.75618
20899.8,2.45136,1.00027,6.01065,4.75717
20899.8,2.45133,1.00024,6.01049,4.75723
20999.8,2.45243,0.990425,5.98033,4.68933
20999.8,2.45219,0.990555,5.98074,4.69004
20999.8,2.45208,0.990576,5.98102,4.69018
21099.9,2.45312,0.980632,5.94923,4.62176
21099.9,2.45292,0.980778,5.95002,4.62266
21099.8,2.45314,0.980612,5.94924,4.62198
21099.8,2.45321,0.980772,5.95002,4.6227
21199.9,2.45412,0.970733,5.91762,4.55442
21199.9,2.4541,0.970847,5.91759,4.55486
21199.8,2.45405,0.970841,5.91789,4.55509
21299.9,2.45453,0.960652,5.88433,4.48687
21299.8,2.45475,0.960853,5.885,4.48779
21299.9,2.45464,0.960831,5.88524,4.48801
21399.7,2.45549,0.950774,5.85105,4.42047
21399.7,2.45583,0.95089,5.85162,4.42144
21399.7,2.45559,0.950924,5.85158,4.42146
21399.7,2.45543,0.95098,5.8519,4.42176
21499.7,2.45623,0.940839,5.81706,4.35485
21499.8,2.45623,0.940844,5.8171,4.35511
21499.8,2.45655,0.940988,5.81798,4.35566
21599.8,2.45752,0.930827,5.78247,4.28931
21599.7,2.45718,0.930877,5.7824,4.28958
21599.7,2.45744,0.931036,5.78281,4.28999
21699.8,2.45816,0.92082,5.74713,4.22446
21699.8,2.45814,0.92098,5.74772,4.22524
21699.8,2.45827,0.921,5.74771,4.22536
21799.8,2.45881,0.910953,5.71224,4.16104
21799.8,2.45892,0.911141,5.71304,4.1621
21799.8,2.45864,0.911185,5.71278,4.16209
21799.8,2.45879,0.911255,5.71309,4.16232
21899.8,2.45975,0.901426,5.67775,4.0991
21899.8,2.45959,0.901431,5.67809,4.09958
21899.8,2.45964,0.901479,5.67813,4.09986
21999.8,2.46043,0.891678,5.6422,4.03694
21999.8,2.46026,0.891795,5.6427,4.03768
21999.9,2.46067,0.891838,5.64309,4.03804
22099.6,2.46124,0.882014,5.60657,3.97571
22099.7,2.46105,0.882147,5.60742,3.9767
22099.7,2.46129,0.882239,5.60775,3.97706
22099.7,2.46093,0.882163,5.60753,3.97698
22199.7,2.46189,0.872616,5.57188,3.91634
22199.7,2.4618,0.872568,5.57203,3.9165
22199.7,2.46217,0.872551,5.57231,3.91668
22299.7,2.46242,0.862906,5.53554,3.85597
22299.7,2.46255,0.863,5.536,3.85673
22299.7,2.46277,0.863029,5.53638,3.85701
22399.7,2.46325,0.853449,5.49996,3.79736
22399.8,2.46324,0.853569,5.49991,3.79774
22399.8,2.46319,0.853598,5.50013,3.79795
22399.7,2.46354,0.853703,5.50081,3.79835
22499.8,2.46379,0.844119,5.4642,3.73984
22499.8,2.4638,0.844212,5.46466,3.74014
22499.8,2.46392,0.844166,5.46426,3.73997
22599.7,2.46475,0.835059,5.42926,3.68294
22599.7,2.46446,0.835003,5.42927,3.68319
22599.8,2.46464,0.835007,5.42915,3.68331
22699.8,2.46528,0.825873,5.39424,3.62708
