Time(s) - Gen,Voltage(V) - Gen,Voltage(V) - R,Voltage(V) - L,Voltage(V) - C
0.000912,-1.36631,-0.874807,-0.593304,-0.842599
0.000916,-2.06008,-0.877706,1.01745,-2.94131
0.00092,-2.43016,-0.740819,2.47039,-4.57623
0.000924,-2.41438,-0.485405,3.53974,-5.49484
0.000928,-2.00565,-0.151725,4.05315,-5.5409
0.000932,-1.28579,0.207079,3.90048,-4.68607
0.000936,-0.361402,0.530776,3.10716,-3.07208
0.00094,0.619028,0.76912,1.82847,-0.978519
0.000944,1.49961,0.884105,0.272463,1.2574
0.000948,2.14025,0.859305,-1.31929,3.28206
0.000952,2.43818,0.697617,-2.70039,4.78496
0.000956,2.34381,0.425132,-3.66537,5.54221
0.00096,1.87517,0.0840425,-4.0654,5.42014
0.000964,1.10602,-0.270574,-3.79807,4.41712
0.000968,0.160699,-0.58332,-2.91168,2.70197
0.000972,-0.813933,-0.801372,-1.57148,0.562341
0.000976,-1.6578,-0.892844,0.0144719,-1.6636
0.00098,-2.24238,-0.841954,1.59431,-3.62317
0.000984,-2.47139,-0.657399,2.92486,-5.01428
0.000988,-2.30261,-0.366556,3.80256,-5.6182
0.000992,-1.7686,-0.0177367,4.07602,-5.32284
0.000996,-0.958227,0.33527,3.6734,-4.15623
0.001,0.00738597,0.632556,2.67653,-2.32516
0.001004,0.968814,0.82774,1.26417,-0.137875
0.001008,1.77693,0.891191,-0.334669,2.05876
0.001012,2.29743,0.813568,-1.87198,3.92013
0.001016,2.44946,0.606789,-3.11975,5.16568
0.00102,2.21014,0.303061,-3.88922,5.60277
0.001024,1.61814,-0.0509116,-4.04446,5.14281
0.001028,0.766222,-0.395866,-3.53202,3.84476
0.001032,-0.209378,-0.678013,-2.45399,1.93218
0.001036,-1.15277,-0.851617,-0.99269,-0.281847
0.00104,-1.91289,-0.890267,0.621927,-2.4482
0.001044,-2.37412,-0.786556,2.1322,-4.2258
0.001048,-2.45399,-0.558841,3.32007,-5.34152
0.001052,-2.14447,-0.239654,3.9839,-5.61402
0.001056,-1.49353,0.117539,4.00291,-4.97885
0.00106,-0.603289,0.456374,3.36226,-3.53299
0.001064,0.374886,0.719841,2.18341,-1.52929
0.001068,1.29477,0.868001,0.675393,0.704059
0.001072,2.01141,0.878308,-0.933427,2.81342
0.001076,2.40082,0.749795,-2.38378,4.4722
0.00108,2.40662,0.500822,-3.4734,5.43206
0.001084,2.02655,0.17326,-4.02192,5.53738
0.001088,1.32086,-0.184255,-3.92561,4.74598
0.001092,0.406129,-0.511817,-3.18449,3.18479
0.001096,-0.575912,-0.757568,-1.93994,1.11987
0.0011,-1.46712,-0.882537,-0.392323,-1.11863
0.001104,-2.12611,-0.868365,1.21424,-3.17611
0.001108,-2.45013,-0.714086,2.62693,-4.73374
0.001112,-2.37895,-0.447077,3.63701,-5.5496
0.001116,-1.93318,-0.106955,4.07151,-5.48196
0.00112,-1.18143,0.249917,3.83638,-4.52116
0.001124,-0.23901,0.565562,2.9706,-2.83019
0.001128,0.739488,0.789734,1.6452,-0.700559
0.001132,1.59366,0.888937,0.0705148,1.52764
0.001136,2.1979,0.846099,-1.50706,3.50269
0.00114,2.44946,0.669918,-2.84726,4.9241
0.001144,2.30677,0.385193,-3.75007,5.57668
0.001148,1.79465,0.0395946,-4.0683,5.34316
0.001152,0.996192,-0.314056,-3.71883,4.23868
0.001156,0.0386283,-0.616172,-2.7661,2.45268
0.00116,-0.928595,-0.820375,-1.38274,0.28277
0.001164,-1.7483,-0.894454,0.216098,-1.92932
0.001168,-2.29263,-0.826172,1.7779,-3.83414
0.001172,-2.47268,-0.625513,3.06497,-5.13635
0.001176,-2.25752,-0.325973,3.87342,-5.63237
0.00118,-1.68228,0.0283216,4.06539,-5.22332
0.001184,-0.842921,0.376175,3.58161,-3.95975
0.001188,0.129135,0.663476,2.51999,-2.0662
0.001192,1.08026,0.842878,1.07188,0.143306
0.001196,1.85939,0.889581,-0.535007,2.31675
