Frequency,Gen(mV),R,L,C,,Frequency,Gen(V),R,L,C
8349.951,2.497,0.236,0.534,2.982,,8.35E+03,2.50E-03,2.36E-04,5.34E-04,2.98E-03
8399.899,2.498,0.238,0.542,2.99,,8.40E+03,2.50E-03,2.38E-04,5.42E-04,2.99E-03
8399.901,2.498,0.238,0.542,2.99,,8.40E+03,2.50E-03,2.38E-04,5.42E-04,2.99E-03
8450.032,2.497,0.24,0.55,2.997,,8.45E+03,2.50E-03,2.40E-04,5.50E-04,3.00E-03
8499.96,2.498,0.242,0.559,3.004,,8.50E+03,2.50E-03,2.42E-04,5.59E-04,3.00E-03
8499.935,2.498,0.242,0.559,3.004,,8.50E+03,2.50E-03,2.42E-04,5.59E-04,3.00E-03
8549.868,2.497,0.244,0.567,3.012,,8.55E+03,2.50E-03,2.44E-04,5.67E-04,3.01E-03
8549.779,2.497,0.244,0.567,3.012,,8.55E+03,2.50E-03,2.44E-04,5.67E-04,3.01E-03
8599.963,2.497,0.246,0.576,3.019,,8.60E+03,2.50E-03,2.46E-04,5.76E-04,3.02E-03
8649.856,2.497,0.249,0.584,3.027,,8.65E+03,2.50E-03,2.49E-04,5.84E-04,3.03E-03
8649.84,2.497,0.249,0.584,3.027,,8.65E+03,2.50E-03,2.49E-04,5.84E-04,3.03E-03
8699.902,2.497,0.251,0.593,3.035,,8.70E+03,2.50E-03,2.51E-04,5.93E-04,3.04E-03
8699.941,2.497,0.251,0.593,3.035,,8.70E+03,2.50E-03,2.51E-04,5.93E-04,3.04E-03
8749.886,2.497,0.253,0.602,3.043,,8.75E+03,2.50E-03,2.53E-04,6.02E-04,3.04E-03
8799.963,2.497,0.255,0.611,3.05,,8.80E+03,2.50E-03,2.55E-04,6.11E-04,3.05E-03
8800.01,2.497,0.255,0.611,3.05,,8.80E+03,2.50E-03,2.55E-04,6.11E-04,3.05E-03
8849.864,2.497,0.257,0.62,3.058,,8.85E+03,2.50E-03,2.57E-04,6.20E-04,3.06E-03
8900.013,2.497,0.259,0.629,3.067,,8.90E+03,2.50E-03,2.59E-04,6.29E-04,3.07E-03
8900.003,2.497,0.259,0.629,3.067,,8.90E+03,2.50E-03,2.59E-04,6.29E-04,3.07E-03
8949.903,2.497,0.261,0.638,3.075,,8.95E+03,2.50E-03,2.61E-04,6.38E-04,3.08E-03
8949.945,2.497,0.261,0.638,3.075,,8.95E+03,2.50E-03,2.61E-04,6.38E-04,3.08E-03
8999.841,2.497,0.264,0.647,3.083,,9.00E+03,2.50E-03,2.64E-04,6.47E-04,3.08E-03
9049.959,2.497,0.266,0.657,3.091,,9.05E+03,2.50E-03,2.66E-04,6.57E-04,3.09E-03
9049.924,2.497,0.266,0.657,3.091,,9.05E+03,2.50E-03,2.66E-04,6.57E-04,3.09E-03
9099.864,2.497,0.268,0.666,3.1,,9.10E+03,2.50E-03,2.68E-04,6.66E-04,3.10E-03
9099.866,2.497,0.268,0.666,3.1,,9.10E+03,2.50E-03,2.68E-04,6.66E-04,3.10E-03
9149.989,2.497,0.27,0.676,3.108,,9.15E+03,2.50E-03,2.70E-04,6.76E-04,3.11E-03
9199.886,2.496,0.273,0.685,3.117,,9.20E+03,2.50E-03,2.73E-04,6.85E-04,3.12E-03
9199.916,2.496,0.273,0.686,3.117,,9.20E+03,2.50E-03,2.73E-04,6.86E-04,3.12E-03
9249.988,2.497,0.275,0.695,3.125,,9.25E+03,2.50E-03,2.75E-04,6.95E-04,3.13E-03
9249.95,2.497,0.275,0.696,3.125,,9.25E+03,2.50E-03,2.75E-04,6.96E-04,3.13E-03
9300.015,2.496,0.277,0.705,3.134,,9.30E+03,2.50E-03,2.77E-04,7.05E-04,3.13E-03
9349.874,2.496,0.28,0.716,3.143,,9.35E+03,2.50E-03,2.80E-04,7.16E-04,3.14E-03
9349.812,2.496,0.28,0.715,3.143,,9.35E+03,2.50E-03,2.80E-04,7.15E-04,3.14E-03
9399.916,2.496,0.282,0.726,3.152,,9.40E+03,2.50E-03,2.82E-04,7.26E-04,3.15E-03
9399.935,2.496,0.282,0.726,3.152,,9.40E+03,2.50E-03,2.82E-04,7.26E-04,3.15E-03
9449.834,2.496,0.284,0.736,3.161,,9.45E+03,2.50E-03,2.84E-04,7.36E-04,3.16E-03
9499.956,2.496,0.287,0.746,3.17,,9.50E+03,2.50E-03,2.87E-04,7.46E-04,3.17E-03
9499.974,2.496,0.287,0.746,3.17,,9.50E+03,2.50E-03,2.87E-04,7.46E-04,3.17E-03
9549.868,2.496,0.289,0.757,3.18,,9.55E+03,2.50E-03,2.89E-04,7.57E-04,3.18E-03
9549.877,2.496,0.289,0.757,3.18,,9.55E+03,2.50E-03,2.89E-04,7.57E-04,3.18E-03
9599.974,2.496,0.291,0.767,3.189,,9.60E+03,2.50E-03,2.91E-04,7.67E-04,3.19E-03
9649.907,2.495,0.294,0.778,3.198,,9.65E+03,2.50E-03,2.94E-04,7.78E-04,3.20E-03
9649.916,2.496,0.294,0.778,3.198,,9.65E+03,2.50E-03,2.94E-04,7.78E-04,3.20E-03
9699.786,2.495,0.296,0.789,3.208,,9.70E+03,2.50E-03,2.96E-04,7.89E-04,3.21E-03
9699.787,2.496,0.296,0.789,3.208,,9.70E+03,2.50E-03,2.96E-04,7.89E-04,3.21E-03
9749.913,2.496,0.299,0.8,3.218,,9.75E+03,2.50E-03,2.99E-04,8.00E-04,3.22E-03
9799.877,2.495,0.301,0.811,3.227,,9.80E+03,2.50E-03,3.01E-04,8.11E-04,3.23E-03
9799.833,2.495,0.301,0.811,3.228,,9.80E+03,2.50E-03,3.01E-04,8.11E-04,3.23E-03
9849.945,2.495,0.304,0.823,3.238,,9.85E+03,2.50E-03,3.04E-04,8.23E-04,3.24E-03
9849.957,2.495,0.304,0.822,3.237,,9.85E+03,2.50E-03,3.04E-04,8.22E-04,3.24E-03
9899.886,2.495,0.306,0.834,3.247,,9.90E+03,2.50E-03,3.06E-04,8.34E-04,3.25E-03
9949.985,2.495,0.309,0.845,3.257,,9.95E+03,2.50E-03,3.09E-04,8.45E-04,3.26E-03
9949.998,2.495,0.309,0.846,3.257,,9.95E+03,2.50E-03,3.09E-04,8.46E-04,3.26E-03
9999.923,2.495,0.312,0.857,3.268,,1.00E+04,2.50E-03,3.12E-04,8.57E-04,3.27E-03
10050.009,2.495,0.314,0.869,3.278,,1.01E+04,2.50E-03,3.14E-04,8.69E-04,3.28E-03
10050.016,2.495,0.314,0.869,3.278,,1.01E+04,2.50E-03,3.14E-04,8.69E-04,3.28E-03
10099.942,2.495,0.317,0.881,3.288,,1.01E+04,2.50E-03,3.17E-04,8.81E-04,3.29E-03
10099.888,2.495,0.317,0.881,3.288,,1.01E+04,2.50E-03,3.17E-04,8.81E-04,3.29E-03
10149.826,2.495,0.319,0.893,3.299,,1.01E+04,2.50E-03,3.19E-04,8.93E-04,3.30E-03
10199.915,2.494,0.322,0.905,3.31,,1.02E+04,2.49E-03,3.22E-04,9.05E-04,3.31E-03
10199.92,2.495,0.322,0.905,3.31,,1.02E+04,2.50E-03,3.22E-04,9.05E-04,3.31E-03
10249.819,2.494,0.325,0.917,3.32,,1.02E+04,2.49E-03,3.25E-04,9.17E-04,3.32E-03
10249.821,2.494,0.325,0.918,3.321,,1.02E+04,2.49E-03,3.25E-04,9.18E-04,3.32E-03
10299.916,2.494,0.328,0.93,3.332,,1.03E+04,2.49E-03,3.28E-04,9.30E-04,3.33E-03
10349.871,2.495,0.33,0.943,3.343,,1.03E+04,2.50E-03,3.30E-04,9.43E-04,3.34E-03
10349.897,2.494,0.33,0.943,3.343,,1.03E+04,2.49E-03,3.30E-04,9.43E-04,3.34E-03
10399.947,2.494,0.333,0.956,3.354,,1.04E+04,2.49E-03,3.33E-04,9.56E-04,3.35E-03
10399.953,2.494,0.333,0.956,3.354,,1.04E+04,2.49E-03,3.33E-04,9.56E-04,3.35E-03
10449.907,2.494,0.336,0.968,3.365,,1.04E+04,2.49E-03,3.36E-04,9.68E-04,3.37E-03
10499.78,2.494,0.339,0.982,3.376,,1.05E+04,2.49E-03,3.39E-04,9.82E-04,3.38E-03
10499.842,2.494,0.339,0.981,3.376,,1.05E+04,2.49E-03,3.39E-04,9.81E-04,3.38E-03
10549.938,2.494,0.342,0.995,3.388,,1.05E+04,2.49E-03,3.42E-04,9.95E-04,3.39E-03
10549.892,2.494,0.342,0.995,3.388,,1.05E+04,2.49E-03,3.42E-04,9.95E-04,3.39E-03
10599.818,2.494,0.344,1.009,3.4,,1.06E+04,2.49E-03,3.44E-04,1.01E-03,3.40E-03
10649.944,2.494,0.347,1.022,3.411,,1.06E+04,2.49E-03,3.47E-04,1.02E-03,3.41E-03
10649.913,2.494,0.347,1.022,3.411,,1.06E+04,2.49E-03,3.47E-04,1.02E-03,3.41E-03
10699.82,2.494,0.35,1.036,3.423,,1.07E+04,2.49E-03,3.50E-04,1.04E-03,3.42E-03
10749.923,2.493,0.353,1.05,3.435,,1.07E+04,2.49E-03,3.53E-04,1.05E-03,3.44E-03
