Frequency,Gen(rad),R,L,C
22249.81,0.004,5.691,1.122,4.64
22299.673,0.003,5.684,1.115,4.633
22299.728,0.001,5.682,1.113,4.632
22349.85,0.004,5.679,1.11,4.63
22399.751,0.005,5.675,1.107,4.627
22399.758,0.003,5.673,1.105,4.625
22449.888,6.283,5.664,1.096,4.617
22449.837,0,5.665,1.097,4.617
22499.79,0.006,5.665,1.098,4.619
22549.687,6.282,5.652,1.085,4.607
22549.696,0.005,5.658,1.092,4.613
22599.767,6.282,5.646,1.08,4.602
22599.803,0.001,5.649,1.083,4.605
22649.792,6.283,5.642,1.076,4.599
22699.835,0.002,5.637,1.072,4.595
22699.879,0.003,5.639,1.073,4.597
22749.756,0.006,5.636,1.072,4.595
22799.821,6.283,5.625,1.061,4.585
22799.913,0.006,5.632,1.068,4.592
22849.758,0.007,5.627,1.063,4.588
22849.816,0.004,5.625,1.061,4.586
22899.671,0.005,5.62,1.057,4.583
22949.818,0.002,5.613,1.05,4.576
22949.781,0.006,5.616,1.053,4.579
22999.724,0.007,5.612,1.05,4.577
22999.725,0.004,5.61,1.047,4.574
23049.816,0.003,5.604,1.042,4.57
23099.728,0.006,5.601,1.04,4.568
23099.694,0.006,5.602,1.04,4.568
23149.832,0.004,5.595,1.034,4.563
23149.867,0.001,5.592,1.031,4.56
23199.789,0.001,5.588,1.028,4.557
23249.712,0.002,5.584,1.024,4.554
23249.7,0.007,5.589,1.029,4.559
23299.765,0.005,5.582,1.022,4.553
23349.703,0.003,5.575,1.016,4.547
23349.705,0.006,5.578,1.019,4.55
23399.758,0.005,5.572,1.014,4.546
23399.807,0.005,5.573,1.015,4.546
23449.728,0.008,5.571,1.013,4.545
23499.854,0.003,5.562,1.005,4.538
23499.814,0.003,5.563,1.005,4.538
23549.759,0.004,5.559,1.002,4.536
23549.722,0.005,5.56,1.003,4.536
23599.878,0.004,5.555,0.999,4.533
23649.803,0.006,5.553,0.997,4.532
23649.764,0.002,5.549,0.993,4.528
23699.67,0.002,5.545,0.99,4.525
23699.701,0.008,5.551,0.996,4.531
23749.776,0.008,5.547,0.992,4.528
23799.712,0.004,5.538,0.984,4.521
23799.742,0.007,5.543,0.988,4.524
23849.782,0.005,5.536,0.982,4.519
23849.795,0.002,5.533,0.979,4.516
23899.739,0.007,5.534,0.981,4.519
23949.838,0.006,5.53,0.976,4.515
23949.827,0.006,5.53,0.976,4.515
23999.789,0.009,5.529,0.976,4.515
24049.737,0.003,5.519,0.967,4.506
24049.666,0.003,5.519,0.966,4.506
24099.71,0.004,5.515,0.963,4.504
24099.774,0.007,5.518,0.967,4.507
24149.765,0.004,5.512,0.961,4.502
24199.8,0.003,5.508,0.957,4.499
24199.812,0.003,5.507,0.957,4.498
24249.745,0.005,5.506,0.956,4.498
24249.757,0.002,5.503,0.953,4.495
24299.891,0.007,5.504,0.955,4.498
24349.751,0.004,5.497,0.949,4.492
24349.758,0.007,5.501,0.952,4.495
24399.86,0.007,5.498,0.949,4.493
24399.886,0.006,5.497,0.948,4.492
24449.82,0.007,5.495,0.946,4.491
24499.57,0.011,5.494,0.947,4.492
24499.908,0.01,5.495,0.947,4.493
24549.786,0.007,5.488,0.941,4.486
24549.775,0.003,5.484,0.936,4.482
24599.689,0.007,5.485,0.937,4.484
24649.797,0.009,5.483,0.937,4.484
24649.76,0.004,5.478,0.932,4.479
24699.704,0.006,5.477,0.931,4.479
24749.836,0.008,5.476,0.931,4.479
